date,campaign_id,campaign_name,channel,campaign_type,region,device,impressions,clicks,spend_gbp,conversions,revenue_gbp,new_customers,assisted_conversions,ctr,cpc_gbp,conversion_rate,cpa_gbp,roas,aov_gbp
2025-01-01,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Desktop,12089,782,1144.54,58,3596.29,27,18,0.06468690545123666,1.4636061381074168,0.0741687979539642,19.733448275862067,3.1421269680395616,62.005
2025-01-02,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,9017,413,242.11,18,1170.39,8,7,0.045802373294887434,0.586222760290557,0.043583535108958835,13.450555555555557,4.834124984511173,65.02166666666668
2025-01-03,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Germany,Mobile,10170,415,574.55,13,1205.99,7,5,0.040806293018682396,1.384457831325301,0.03132530120481928,44.19615384615384,2.0990166217039423,92.76846153846154
2025-01-04,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Germany,Mobile,10963,562,846.35,33,2664.03,23,9,0.05126334032655295,1.5059608540925267,0.05871886120996441,25.6469696969697,3.147669403910912,80.72818181818182
2025-01-05,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Tablet,4853,209,216.08,20,1811.72,11,4,0.043066144652792085,1.0338755980861245,0.09569377990430622,10.804,8.38448722695298,90.586
2025-01-06,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,France,Mobile,8122,425,598.2,22,2308.74,15,7,0.05232701305097267,1.407529411764706,0.05176470588235294,27.19090909090909,3.8594784353059173,104.94272727272727
2025-01-07,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Germany,Mobile,6231,207,271.81,11,872.66,8,3,0.03322099181511796,1.3130917874396135,0.05314009661835749,24.71,3.210551488171885,79.33272727272727
2025-01-08,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Canada,Mobile,5504,279,275.36,24,2274.01,14,8,0.050690406976744186,0.9869534050179212,0.08602150537634409,11.473333333333334,8.258316385822196,94.75041666666668
2025-01-09,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,15043,600,895.12,33,3341.26,12,7,0.03988566110483281,1.4918666666666667,0.055,27.124848484848485,3.7327509160782912,101.25030303030303
2025-01-10,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,4229,158,186.1,9,643.9,5,1,0.03736107826909435,1.1778481012658228,0.056962025316455694,20.677777777777777,3.45996775926921,71.54444444444444
2025-01-11,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Canada,Mobile,13862,754,1040.67,46,3087.04,28,9,0.05439330543933055,1.3801989389920426,0.0610079575596817,22.623260869565218,2.966396648313106,67.1095652173913
2025-01-12,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,8369,449,601.68,21,1837.59,13,3,0.053650376389054844,1.340044543429844,0.0467706013363029,28.651428571428568,3.054098524132429,87.50428571428571
2025-01-13,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Desktop,6881,254,301.86,28,2380.79,13,2,0.03691323935474495,1.1884251968503938,0.11023622047244094,10.780714285714286,7.887066852183131,85.02821428571428
2025-01-14,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,11305,508,596.19,14,1225.11,6,4,0.044935869084475895,1.1736023622047245,0.027559055118110236,42.585,2.054898606149046,87.50785714285713
2025-01-15,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,India,Desktop,9959,343,387.8,28,3508.86,10,5,0.03444120895672256,1.1306122448979592,0.08163265306122448,13.85,9.048117586384734,125.31642857142857
2025-01-16,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,7258,275,343.3,10,785.22,4,3,0.03788922568200606,1.2483636363636363,0.03636363636363636,34.33,2.2872706087969705,78.522
2025-01-17,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,12608,627,851.52,35,2759.15,14,8,0.04973032994923858,1.3580861244019138,0.05582137161084529,24.329142857142855,3.240264468245021,78.83285714285715
2025-01-18,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Desktop,4982,311,302.47,32,2130.06,12,11,0.06242472902448816,0.9725723472668811,0.10289389067524116,9.4521875,7.0422190630475745,66.564375
2025-01-19,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Desktop,5603,151,144.95,16,1321.45,5,4,0.026949848295555953,0.959933774834437,0.10596026490066225,9.059375,9.116591928251122,82.590625
2025-01-20,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Germany,Mobile,14928,803,1089.63,50,3468.22,29,20,0.053791532690246516,1.3569489414694895,0.062266500622665005,21.792600000000004,3.1829336563787702,69.36439999999999
2025-01-21,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Desktop,14719,651,677.47,46,5068.84,33,11,0.04422854813506352,1.0406605222734255,0.0706605222734255,14.727608695652174,7.48201396371795,110.19217391304348
2025-01-22,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,India,Mobile,9592,516,809.01,53,3742.57,37,18,0.05379482902418682,1.5678488372093022,0.10271317829457365,15.26433962264151,4.626110925699312,70.61452830188679
2025-01-23,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Mobile,7954,253,242.92,9,705.88,5,5,0.03180789539854161,0.9601581027667984,0.03557312252964427,26.99111111111111,2.905812613205994,78.43111111111111
2025-01-24,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Desktop,7219,323,513.97,7,612.21,3,1,0.04474303920210555,1.5912383900928793,0.021671826625386997,73.42428571428572,1.1911395606747475,87.45857142857143
2025-01-25,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Mobile,9937,373,604.34,33,2577.86,15,5,0.03753647982288417,1.6202144772117963,0.08847184986595175,18.313333333333333,4.265578978720588,78.1169696969697
2025-01-26,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,15000,692,997.99,32,2140.42,11,14,0.04613333333333333,1.4421820809248556,0.046242774566473986,31.1871875,2.144730909127346,66.888125
2025-01-27,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Desktop,5288,281,329.25,34,2889.32,24,14,0.05313918305597579,1.1717081850533808,0.12099644128113879,9.683823529411764,8.775459377372817,84.98
2025-01-28,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,France,Desktop,4802,221,305.35,17,1207.85,6,6,0.04602249062890462,1.3816742081447966,0.07692307692307693,17.961764705882356,3.955624692975274,71.05
2025-01-29,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,France,Mobile,7064,420,408.04,24,1981.74,17,5,0.059456398640996604,0.9715238095238096,0.05714285714285714,17.00166666666667,4.856729732379178,82.5725
2025-01-30,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Mobile,13938,650,597.4,57,4173.61,26,19,0.04663509829243794,0.919076923076923,0.0876923076923077,10.480701754385965,6.986290592567793,73.22122807017543
2025-01-31,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Desktop,11237,608,537.73,54,3893.84,29,23,0.05410696805197117,0.8844243421052632,0.08881578947368421,9.957962962962963,7.241254904877913,72.10814814814815
2025-02-01,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,France,Mobile,3999,200,255.3,17,2379.19,10,6,0.05001250312578145,1.2765,0.085,15.01764705882353,9.319193106149628,139.95235294117649
2025-02-02,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,India,Desktop,8284,427,639.21,37,3182.62,23,16,0.05154514727184935,1.4969789227166277,0.08665105386416862,17.275945945945946,4.978989690399086,86.01675675675675
2025-02-03,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,India,Mobile,7362,392,452.62,23,2766.06,15,6,0.05324640043466449,1.154642857142857,0.058673469387755105,19.67913043478261,6.111219124210154,120.26347826086956
2025-02-04,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,France,Desktop,6586,295,259.57,28,2095.58,12,4,0.044791982994230185,0.8798983050847458,0.09491525423728814,9.270357142857142,8.073275031783334,74.84214285714286
2025-02-05,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Mobile,10937,367,367.03,26,2222.77,15,11,0.03355581969461461,1.0000817438692098,0.07084468664850137,14.116538461538461,6.0560989564885706,85.49115384615385
2025-02-06,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,15729,707,829.44,50,3227.05,24,13,0.04494882064975523,1.1731824611032533,0.07072135785007072,16.588800000000003,3.8906370563271606,64.541
2025-02-07,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,France,Mobile,6500,344,432.05,26,2159.68,18,4,0.05292307692307692,1.2559593023255815,0.0755813953488372,16.617307692307694,4.998680708251359,83.06461538461538
2025-02-08,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Desktop,9521,486,554.73,40,3384.55,28,16,0.051045058292196195,1.1414197530864199,0.0823045267489712,13.86825,6.101256467110126,84.61375000000001
2025-02-09,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,India,Mobile,14049,762,975.33,58,3582.05,41,25,0.054238735853085626,1.2799606299212598,0.07611548556430446,16.81603448275862,3.67265438364451,61.75948275862069
2025-02-10,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,8898,486,550.58,44,3276.41,27,5,0.05461901550910317,1.132880658436214,0.09053497942386832,12.513181818181819,5.950833666315521,74.46386363636363
2025-02-11,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Germany,Mobile,7314,255,298.42,24,2228.32,14,7,0.034864643150123054,1.1702745098039216,0.09411764705882353,12.434166666666668,7.467059848535621,92.84666666666668
2025-02-12,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,India,Tablet,2906,122,122.93,12,1016.26,5,3,0.04198210598761184,1.0076229508196721,0.09836065573770492,10.244166666666667,8.266981208818025,84.68833333333333
2025-02-13,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,13660,588,708.82,31,2861.23,23,6,0.04304538799414349,1.2054761904761906,0.05272108843537415,22.865161290322582,4.036610140797381,92.29774193548387
2025-02-14,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,France,Desktop,9119,508,473.86,52,3812.89,25,11,0.05570786270424389,0.9327952755905512,0.10236220472440945,9.112692307692308,8.046448318068627,73.32480769230769
2025-02-15,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,6973,292,257.34,24,1823.23,10,4,0.04187580668291983,0.8813013698630137,0.0821917808219178,10.722499999999998,7.084907126758375,75.96791666666667
2025-02-16,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Mobile,9330,390,455.29,29,2830.64,18,13,0.04180064308681672,1.1674102564102564,0.07435897435897436,15.699655172413793,6.21722418678205,97.60827586206896
2025-02-17,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,5434,281,255.71,7,511.77,4,2,0.05171144644828855,0.91,0.02491103202846975,36.53,2.001368738023542,73.11
2025-02-18,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Mobile,6811,291,356.29,15,1271.5,10,7,0.04272500367053296,1.224364261168385,0.05154639175257732,23.752666666666666,3.5687221083948466,84.76666666666667
2025-02-19,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Germany,Mobile,5758,344,451.74,6,430.02,2,2,0.05974296630774575,1.3131976744186047,0.01744186046511628,75.29,0.9519192455837429,71.67
2025-02-20,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Germany,Desktop,3152,168,188.49,14,1320.93,9,1,0.0532994923857868,1.1219642857142857,0.08333333333333333,13.463571428571429,7.007957981855801,94.35214285714287
2025-02-21,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,13698,632,581.85,41,4326.85,30,15,0.04613812235362827,0.9206487341772153,0.06487341772151899,14.191463414634146,7.4363667611927475,105.5329268292683
2025-02-22,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,11056,597,615.06,43,3775.45,16,20,0.05399782923299566,1.030251256281407,0.07202680067001675,14.303720930232556,6.138344226579521,87.80116279069767
2025-02-23,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,12962,601,783.48,33,2799.21,21,13,0.04636630149668261,1.3036272878535775,0.05490848585690516,23.741818181818182,3.5727906264359013,84.82454545454546
2025-02-24,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,11775,410,318.18,22,1678.71,10,6,0.03481953290870488,0.7760487804878049,0.05365853658536585,14.462727272727273,5.275975862719216,76.305
2025-02-25,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Canada,Mobile,10781,438,460.46,23,2736.93,13,3,0.04062702903255728,1.0512785388127854,0.05251141552511415,20.02,5.943903922164791,118.99695652173912
2025-02-26,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,11039,289,293.76,33,1372.35,12,7,0.026179907600326117,1.016470588235294,0.11418685121107267,8.901818181818182,4.671670751633987,41.586363636363636
2025-02-27,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Desktop,11675,639,917.81,60,6762.39,28,20,0.054732334047109206,1.4363223787167447,0.09389671361502347,15.296833333333332,7.367962868131749,112.7065
2025-02-28,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,7799,265,304.08,10,456.01,4,2,0.03397871521989999,1.1474716981132076,0.03773584905660377,30.407999999999998,1.4996382530912917,45.601
2025-03-01,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,US,Desktop,14843,512,719.28,54,3200.79,23,14,0.03449437445260392,1.40484375,0.10546875,13.32,4.449991658324992,59.27388888888889
2025-03-02,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,6748,307,360.79,36,3905.46,18,13,0.0454949614700652,1.1752117263843649,0.11726384364820847,10.021944444444445,10.82474569694282,108.485
2025-03-03,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,France,Desktop,8973,412,570.81,35,2607.48,22,5,0.04591552435083027,1.3854611650485436,0.08495145631067962,16.308857142857143,4.568034897776844,74.49942857142857
2025-03-04,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,15306,702,794.57,44,4157.9,16,19,0.04586436691493532,1.131866096866097,0.06267806267806268,18.05840909090909,5.232893263022766,94.49772727272726
2025-03-05,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,India,Desktop,4405,176,165.79,27,1328.5,10,7,0.039954597048808174,0.9419886363636363,0.1534090909090909,6.14037037037037,8.013149164605826,49.2037037037037
2025-03-06,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,France,Mobile,12968,798,1142.23,67,4785.58,28,17,0.06153608883405305,1.4313659147869675,0.08395989974937343,17.04820895522388,4.18968158777129,71.4265671641791
2025-03-07,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,8060,458,430.88,15,1402.73,6,7,0.05682382133995037,0.9407860262008734,0.03275109170305677,28.72533333333333,3.2555003713330857,93.51533333333333
2025-03-08,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Tablet,6407,317,420.23,32,1829.29,13,9,0.04947713438426721,1.3256466876971609,0.10094637223974763,13.1321875,4.353068557694596,57.1653125
2025-03-09,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,UK,Mobile,10646,404,430.32,34,2917.79,13,14,0.03794852526770618,1.0651485148514852,0.08415841584158416,12.656470588235294,6.78051217698457,85.81735294117647
2025-03-10,CMP-1000,Google Ads - Brand Search,Google Ads,Brand Search,Germany,Tablet,3138,149,144.75,9,435.8,6,3,0.04748247291268324,0.9714765100671141,0.06040268456375839,16.083333333333332,3.010708117443869,48.422222222222224
